idx,question,Q0,Q2,Q3,Q4,Q5
85,"I created a page for a book that is verifiable, well cited, self written, notetable and neutral. This one guy came along and said it was written by ai. Previously I did use grammerly which isn't exactly ai and I have since revised the page in my own writing. Yet I am still not able to get approval. can you please help me? I am happy to revise my work again but their is no specific suggestions or references to issues just the vague claim that I sound like ai. I really don't know how to prove other wise. I spent a whole afternoon writing this and I don't think this guy ever even read it considering his response. this is really disheartening.",Y,N,Y,Y,Y
86,"I created a page for Pioneer Bank in the sandbox. I would like to make it live, please let me know how I can accomplish that.",Y,N,N,N,Y
87,"Hey Ruben, I'm looking to learn more about copywriting, I would love for your advice on this! If there's any tips and tricks you can give, thanks in advance",Y,N,N,N,N
88,"Hello, I have edited a section referencing our church location and website but I am getting a cite ref failure. The ref is OK but no test showing in the summary. I hope this makes sense. I can't revert to the previous incorrect text.",Y,N,N,N,Y
89,Hello,N,N,N,N,N
90,Dd,N,N,N,N,N
91,Hello. How can I update information about myself on Wikipedia?,Y,N,N,N,N
92,"Hello, I was wondering if I am an actor with IMDb credits in movies and TV, can a wikipedia page be created without my consent?",Y,N,N,Y,N
93,"hello, Im interested in universities and schools in ireland and britain and i have noticed that several business schools in the region do not have wikipedia pages. how can i go about creating them?",Y,N,N,N,N
94,Hello oo,N,N,N,N,N
95,"hi, i would like to create an article about odins valkyries but i do not know where to start, can you help me? thank you for your time and dedication",Y,N,N,N,N
96,"Hi! I submitted an article for view. I am a member and have volunteered at Gibbs Gardens, not sure if that is a conflict of interest to disclose. the concept of 'conflict of interest' is confusing. there is so much more I could say but worked hard to keep things neutral and fact based and have lots of sources/citations. Any feedback is welcome. Thank you",Y,N,N,Y,Y
97,Hello what should I do for this,N,N,N,N,N
98,how do i make an article,Y,Y,N,N,N
99,"Hi, I see you're listed as my mentor. I've started editing the China article, I feel like this is a sensitive area. I'm making edits in good faith, how should I conduct myself? Do I need to talk about changes in the Talk section first? It doesn't seem other users do that. Just thought I would ask. Thank you.",Y,N,N,Y,N
100,Hi how do I create a profile and citation?,Y,N,N,N,N
101,Hey there! My article on Chris Dorsey was denied because it lacked proper citations. I'm sure this is a pretty normal mistake so I had really gone through and added a bunch of links but it still didn't work. What am I doing wrong here?,Y,N,Y,Y,Y
102,How do I create an article?,Y,Y,N,N,N
103,"I have prepared my submission in my sandbox and hit PUBLISHED. How do I submit it for through the Articles for Creation (AfC) process, which allows editors to review and approve it for publication. I couldn't find a banner that says ""Submit your draft for review"" to click on and submit it.",Y,N,N,N,Y
104,Hi,N,N,N,N,N
105,"Hi, I have contributed some information about my art practice in a new article. Please let me know if you have any suggestions or recommendations for the same. Thank you.",Y,N,Y,N,Y
106,"Hi, I uploaded some photos a while back but have forgotten the filenames. Is there a way I can find them? Thanks. Andrew.",Y,N,N,N,Y
107,"Hello Comr, I trust you're doing well. I'm creating this page on behalf of a local artist. Are there any tips or guidelines I should follow? I appreciate your comments!",Y,N,N,Y,N
108,Hello. For the moment I have no questions. I signed up to remove the word "Puppet" from Ebrahim Rasool's portrait - but someone else did that while I was creating my account! I'll consult you first before making any future edits.,Y,N,N,N,N
109,"Hi there! I would like to set up a neutral, fact-based Wikipedia page for my company. I want to properly disclose any conflict of interest to make sure everything is above board. Can you help me understand the best way to do this?",Y,N,N,Y,N
110,"Hello, can i delete an old revision? I'd like to remove the first version from the history",Y,N,N,N,Y
111,How do i add pictures,Y,N,N,N,N
112,"Hello, i want to edit something articles actually but can you guide me the rules for it to edit",Y,Y,N,Y,N
113,how do i create a new article?,Y,Y,N,N,N
114,How do I get back to seeing about Jason Priestly,N,N,N,N,N
115,hi can i put AI in my html code,N,N,N,N,N
116,how to exit editing,Y,N,N,N,N
117,How do i submit for editor review?,Y,N,N,N,N
118,Hello I would like to know how can I post or share my lesson,N,N,N,N,N
119,"Good morning sir, please sir I will like you to guide me on how to write and edit on biography of towns, villages and cities. I will be pleased if you guide me on it. Thanks",Y,N,N,N,N
120,hi im vishwanath. i would like to know how to start editing. could u pls help me,Y,Y,N,N,N
121,"Can you help for spelling, grammar, and the clarity of the text of TV5 (Philippine TV network)?",Y,N,N,N,N
122,"Hi, my account is new, but I'm using Wikipedia for years now and of course, I'm donor as well... I'm living in Strathmore, Alberta, Canada: [LINK]. I would like to ask how can I update the ""official"" photos in the article? That photo had been taken in 1974, the grain elevators demolished in the 1980s... So they are no longer exist. I took some photos about a year ago about the new town hall. And: since than the town has new a logo, so I would like to replace the old flag not is use since the 2000s.",Y,N,N,N,N
123,Wiki blocked me from editing,Y,N,N,Y,N
124,"Hi! I would like help publishing an article about artist Destin Conrad. I created a draft, but it was swiftly deleted. I've reached out to the deleter to see if there was a way to recover all the data I entered. If I am able to recover the data entered, would love your feedback on how to make sure it get's approved/published once I decide to submit.",Y,N,N,Y,Y
125,What do I have to do to get my article published,Y,N,N,N,Y
126,"Hey Hey! This might be quite something: I want to be transparent and let you know that I got the task as intern at Armada Music to have a look on how to change their Wikipedia page to include accurate and not outdated pictures and information. I've heard that as of now the last intern spent 6 months and was unable to figure out how to change things, I did a lot of digging and research and discovered I had to be auto approved by making 10 edits to upload pictures. Some questions I had before I get started on changing the Armada Music wikipedia page to make it more accurate and non biased in terms of information: 1. Do my sources have to come from independent sources or can I refer to information that is presented on the Armada Music Website? 2. It mentions that pictures have to be changed to include licensing information? what does this mean precisely? 3. Is it considered a conflict of interest or bad practice that I change the Wikipedia page simply because I am an intern there? The information that is currently on their page is incredibly outdated and simply false, they don't wish for the page to be extremely detailed they just want it to be accurate and portray some simple information about who they are since Wikipedia is a front runner in terms of information sources. 4. What are some advices for me you might have when it comes to changing a page of a larger company entity such as Armada? My apologies for all of this spam, let me know if you're capable of helping me out or not!:D",Y,N,N,Y,N
127,"Hey Rusty! I'm trying to make a Wikipedia page for a business I work for - obviously there are quite a few pitfalls that I can run into along the way... what would be the best course of action for our business to have a page that is likely to be approved? If the information provided is about the business themselves, what references could I be using to make it appropriate for Wikipedia?",Y,N,N,Y,N
128,im a lone boy,N,N,N,N,N
129,This is a test.,N,N,N,N,N
130,"Hello, thank you for being assigned as my mentor. I have a draft biography in my sandbox with a disclosed conflict of interest and a pending request for review. As this is my first article draft, I wanted to ask if you could briefly advise whether the draft is on the right track, or if there is anything obvious I should adjust while waiting for a reviewer. Thank you for your time and help. Best regards",Y,N,Y,Y,Y
131,How can I create stories,N,N,N,N,N
132,How can I start editing?,Y,Y,N,N,N
133,hello i am trying to learn how to add image on? wold you be able to guide me? thks in advance,Y,N,N,N,N
134,"Hi, how can I have a profile on Wikipedia. Where people can search and see me?",Y,N,N,N,N
135,How to i post a wiki,Y,Y,N,N,N
136,Hello I want to add a picture,Y,N,N,N,N
137,"Hi, I created my account 2mths ago but its still not live",Y,N,N,N,N
138,"Hi, Dear, I hope you’re doing well. I wanted to check with you whether my Wikipedia account is now considered active and trusted enough to start drafting a new article. So far, I have: Corrected spelling mistakes Added or removed commas Adjusted plural forms where needed Removed a few extra words to improve readability Could you advise me if my account is ready for drafting, or if there’s anything else I should do first? Thanks so much for your guidance! Best regards",Y,N,N,Y,N
139,"If you have time, please look at my first reply under the first heading ""Tone"". Is that valid or no? Always seeking to understand better. Thank you. [LINK]",Y,N,Y,N,Y
140,"Hi! I submitted my first back in June and was declined because I cited incorrectly. I updated it immediately to reflect everything, I believe, the accurate way. However, I haven’t seen any movement on the piece. Is it normal for it to take this long? The original submission was responded to quite quickly… I’m wondering if I’ve done something incorrectly after updating?",Y,N,N,Y,Y
141,"Hello, how can I find a mistake in an articale if my english is not good enough?",Y,N,N,N,N
142,Hello. I would like to edit a Wikipedia page created for my by an unknown user due to inaccurate information and privacy concerns.,Y,N,N,Y,N
143,"Hello! Imagine my surprise when I saw a little question mark in the lower left corner of my user page pop up telling me you are my mentor. I don't have a question at this time, but am very glad to know there is someone I can go to directly when I do need help in the future. Best regards, and thank you.",Y,N,N,N,N
144,"Lekhpal Singh Chandrawat is a famous Indian Tech YouTuber, singer, musician, actor and internet celebrity born in India. Lekhpal Singh Chandrawat was born in Bhatkheda Madhya Pradesh. His father's name is Balwant Singh Chandrawat and his mother's name is Seema Kunwar Rajput. Lekhpal Singh Chandrawat has been interested in singing, acting, technology, mobile, computer since childhood, as well as he is very interested in all these. He studied till class 8th from Gurukul School Kalukheda, Lekhpal Singh has a younger brother named Tejpal Singh Chandrawat. At the age of 16, he created his own identity on YouTube as a tech YouTuber ""Technical Bharat"" in Bhatkheda village, where Lekhpal used to make technical videos, but in the year 2018, due to YouTube's community guidelines, Lekhpal's channel was suspended by YouTube. Overnight, more than 60,000 subscribers were lost, meaning Lekhpal Singh's channel was suspended by YouTube Career - He started his career as a music video editor in 2018 and is currently active in the music industry. He is also known as an actor and music director. IMDB Mini Biography Author: Lekhpal Singh Chandrawat Has released music projects on many different music platforms like Spotify, Google Play Music, YouTube Music, Apple Music, iTunes, Amazon Music and many other international platforms like Deezer and Tidal. And also you can find his music on Tik Tok library or Instagram and Facebook posts he has been verified on all these music platforms and if you have interest in his art then it's easy to search him and you can easily find his real profile. His name became even more famous when he won the dream11 of IPL 2024 and won the amount of 3 crores. The net worth of Lekhpal Singh Chandrawat is 5 crores Lekhpal Singh Chandrawat was born on 21 April 2004 in Bhatkheda, Ratlam district, Madhya Pradesh",N,N,N,N,N
145,"Hi, I became a brand new Wikipedia editor yesterday and I've got a question about references. I've tasked myself with documenting the regulatory process of Formula One. A sport which I enjoy to watch but also one in a far from transparent universe governed by quite some non-disclosed documents involving commercial parties. This comes with some challenges regarding references. Several claims I would like to make can only be substantiated by on-line references on sites which require a (free or paid) subscription, or by hearsay information published by editors on specialized platforms (which they cannot formally substantiate as they get their information from their own trusted sources). Is there a Wikipedia policy which outlines what to do in such situations?",Y,N,N,Y,N
146,How do i create template,Y,N,N,N,N
147,I am editing a page named as Sunil Rane but there is an automate filter which is removing my all changes and updates. Ho will I able to make updates on the page and fix errors?,Y,N,N,Y,Y
148,Where do I get info from,N,N,N,N,N
149,Hi! How do I create a Wikipedia page?,Y,Y,N,N,N
150,I am trying to create a wiki profile for one one the ict leaders in the kingdom of bahrain. He played a good role in changing the future of ict industry in bahrain by introducing good it solutions and also creating big opportunities for young youth with training programs within the industry. I submitted a small draft but it was deleted or something I don't know,Y,N,N,Y,Y
151,^^ Hi there! I am new here and don't understand how to do anything.. Can you please help me?,Y,Y,N,N,N
152,"hi, i want to make a wiki page about mysenlf and my organisation. how can i create that",Y,N,N,N,N
153,Hello,N,N,N,N,N
154,"Question Dr.Vulpes If a Wikipedia page was created about me but is not viewable by others, please advise why it’s not viewable. Please advise me of the status. Thank you.",Y,N,N,Y,N
155,Is there any way to make a Wikipedia page?,Y,Y,N,N,N
156,"Hello, please bow do you add someone to wikipedia? Thank you",Y,N,N,N,N
157,How do I add information,Y,N,N,N,N
158,"Why are so rude? And unhelpful? That is my question to you as my supposed 'mentor'. Instead of taking a moment to engage constructively, you slapped a warning on my article. That’s a pretty rude way to treat something I spent weeks researching, fact-checking, and writing. Sure, I use tools to help with grammar—like a calculator for words—because I’m a bit dyslexic, but the content, effort, and historical understanding are entirely mine. If you have doubts, you’re welcome to check the references yourself. If something isn’t accessible online, I’ll gladly provide photos of each and every page to back it up. I’d suggest that next time, a conversation might work better than assumptions and warnings. Let me know if you’d like to address any specifics—I’m happy to discuss. Otherwise, I’d suggest rethinking how you handle contributors who are genuinely trying to add value.",Y,N,N,Y,Y
159,How can add my detailed profile on Wikipedia,Y,N,N,N,N
160,"hi, once I wrote my page it disappeared. I made a new one and it doesn't let me edit! what should I do? thanks",Y,N,N,Y,Y
161,"Hi, I am the son of Billy Cooper and have more information about his career. I have tried to add this but not done all of it. HAs a youth he played for 2 teams in York but i don't think this has been added.I have a signed contract for macclesfield in 1947-48 but it has not been added. Can you check his page and advise me how I add my information please. David Jack Cooper",Y,N,N,N,Y
162,"Hello. I've just joined and would like to edit my page. The information on the page is accurate. However, it is incomplete and out-of-date. I would like to update the information about my personal life and legal career. May I simply go forward with this? Thanks.",Y,N,N,N,N
163,Hi! I signed up for the purpose of editing a wiki article I wrote back in 2006. It was a featured article and then it was unceremoniously removed from the featured content. I feel that was a mistake. I'd like to start a discussion on how we can get it back to being featured. How can I go about doing this?,Y,N,N,Y,Y
164,"Hey! You're assigend as my mentor, so I hope its okay that I contact you about this. I just wrote my first original wikipedia article. If you have some time, maybe you could review it and give me some feedback? [LINK]",Y,N,Y,N,Y
165,"Hello there! I've just made this account, and i have a couple questions about editing, mostly just pictures i want to add to pages. As an editor, am i allowed to use the Snipping Tool available on Windows 11? Or will i have to use some other method, as the Snipping Tool is pretty much the only way i know how to crop pictures. And, will i be able to use pictures from websites such as Goodreads? And lastly, will any drafts i create be publicly viewed? Or will it be private. (I am a bit self-conscious with drafts i make being publically viewed.) I'm sorry if any of these questions seems ""stupid"" or ""simple"", I'm very new to editing, and i am a bit overwhelmed right now. But, i still hope to make the changes and make new pages for media i want to see in Wikipedia.",Y,N,N,Y,N
166,Hello... I made some edits on a page along with proper references. But without reasons all the edits were reverted. Some details on the page are wrong info.,Y,N,N,Y,Y
167,How do I add personal information to Wikipedia,Y,N,N,N,N
168,Quiero entrar un club por favor,N,N,N,N,N
169,Hi! I’m just getting started on Wikipedia and am going to put in posts on my expertise (clinical decision support). How do I publish? I don’t see a “blue publish button” per the tutorial?,Y,N,N,N,N
170,"Hello, thanks so much! I would love to occasionally contribute on AI/technology/mathematics topics on Wikipedia. I just submitted my first draft. May I ask if there are some ""best practice"" articles that are perfect for getting some inspiration for good quality content? Also, are preferences for different new articles measured? I would like to contribute with topics that are important and people search for them a lot. Thanks a lot!",Y,N,N,N,Y
171,Hello my name is Amache I am trying to figure out how I can send Denzel Washington a message or if that's even possible,N,N,N,N,N
172,how to add new person profile,Y,N,N,N,N
173,I want write a biography for an artist how can I start?,Y,N,N,N,N
174,hello me,N,N,N,N,N
175,Hey team! Hope everything is great! Can you please check my edits i did to [LINK] Would love to get feedback how i can improve and get beter. Added as many good citations as possible so nothing i've written is without a source.,Y,N,Y,N,Y
176,Do You Only Need To Use Sub-heading 1?,Y,N,N,Y,N
177,"Hi, I'm Blanche McCrary Boyd, and there are inaccuracies as well as stupidities in the article about me. For instance, I am retired as the Weller Professor of English and Writer in Residence at Connecticut College.",Y,N,N,N,N
178,"Hi please could you check on my edit of the Fanuc page, I tried to site it properly but once I published it said there were some issues, here is the link where I got it from where I wanted to update their financials, [LINK]",Y,N,Y,Y,Y
179,hey! i want to know about how i can add a new page of any person here,Y,N,N,N,N
180,"Hi, thanks for helping us newcomers. I had a question about reliable sources; should I use google to find it, or is there a specific website where I can find sources? Thanks! ",Y,N,N,Y,N
181,Hello! Can you tell me how can I publish an article that is in the Draft space?,Y,N,N,N,Y
182,how i delete a page i created?,Y,N,N,N,Y
183,Hello how do I post an article?,Y,Y,N,N,N
184,Hello there. Why can't I see my page when I search for it??,Y,N,N,N,Y
185,"Hi, I noticed this article states that the Milwaukee Bucks do not have a basketball in their logo. However, in the antlers there is an outline of a basketball. I am not sure if that counts as having one or not, so I don't want to edit unless it fits the exact defition. Thanks!",Y,N,N,N,N
186,Do people get salary form wikipedia?,N,N,N,N,N
187,Hi! I am credited in an existing Wiki page and now and I want to claim it and actually be able to fill out the page,Y,N,N,N,N
188,"Hi there ZI Jony / GenQust! Our goal is to contribute encyclopedic-level resources for renowned Architects throughout the Northeast United States. We're starting off with Charles Hilton - we've leveraged Wikipedia's ""best-practices"" documentation and referenced existing Architect's wikipedia pages to ensure ours is equal if not better in its tone. Please advise us on the best way to proceed with publishing this article, as we intend to contribute many more!",Y,N,Y,Y,Y
