Feature,Coef,AbsCoef,Label
tag_visualeditor,0.013935492286733747,0.013935492286733747,VisualEditor
emb_pc2,-0.013661043132893144,0.013661043132893144,Embedding PC2
tag_editcheck_newref,-0.013578235225143755,0.013578235225143755,EditCheck ref
ym_2022-07,-0.01262814029312766,0.01262814029312766,YM: 2022-07
ym_2024-08,-0.012211325520718325,0.012211325520718325,YM: 2024-08
q_poly_feature_politeness_==Gratitude==,0.012100186768230306,0.012100186768230306,Polite: Gratitude
neg_sizediff_ratio,0.011657943685427526,0.011657943685427526,Neg-change ratio
emb_pc15,0.01162977661959757,0.01162977661959757,Embedding PC15
ym_2025-01,-0.011371488719839961,0.011371488719839961,YM: 2025-01
q_persp_profanity,-0.011349905754251524,0.011349905754251524,Persp: Profanity
tag_newcomer_task,-0.011170311623144363,0.011170311623144363,Newcomer Task
n_edits_1d,0.010654780677153735,0.010654780677153735,Prior edits (1d)
q_poly_feature_politeness_==Deference==,-0.01039548970747362,0.01039548970747362,Polite: Deference
ym_2021-07,0.010266322468622788,0.010266322468622788,YM: 2021-07
emb_pc11,0.010021327638877869,0.010021327638877869,Embedding PC11
q_mentions_wp,0.009687309717273471,0.009687309717273471,Q mentions WP
ym_2024-06,-0.009522757409168916,0.009522757409168916,YM: 2024-06
ym_2023-12,0.00948279621042131,0.00948279621042131,YM: 2023-12
ns118_draft,-0.009414580989650732,0.009414580989650732,Draft-ns edits
ym_2023-08,0.009393015921386987,0.009393015921386987,YM: 2023-08
ym_2025-07,-0.009075233782524113,0.009075233782524113,YM: 2025-07
q_poly_feature_politeness_==Hedges==,0.008808846845523436,0.008808846845523436,Polite: Hedges
q_poly_feature_politeness_==Please==,-0.008496628589264532,0.008496628589264532,Polite: Please
ym_2022-05,0.00809960852576941,0.00809960852576941,YM: 2022-05
ym_2024-04,0.0077519391215273735,0.0077519391215273735,YM: 2024-04
q_persp_sexually_explicit,-0.007606886482823695,0.007606886482823695,Persp: Sexual
ym_2023-02,0.007562430000971063,0.007562430000971063,YM: 2023-02
ym_2023-01,-0.007530058698068798,0.007530058698068798,YM: 2023-01
q_persp_toxicity,0.007420964792973426,0.007420964792973426,Persp: Toxicity
n_unique_ns,-0.007252369414526103,0.007252369414526103,Unique namespaces
q_link_count,-0.007159372846475233,0.007159372846475233,Q links
ym_2023-10,0.007088117775235687,0.007088117775235687,YM: 2023-10
q_tb_polarity,-0.006839955201598844,0.006839955201598844,Polarity (TextBlob)
n_abuse,-0.006753235433395495,0.006753235433395495,Abuse filter hits
ym_2023-07,-0.006738338280334279,0.006738338280334279,YM: 2023-07
q_poly_feature_politeness_==2nd_person==,0.006446185726265758,0.006446185726265758,Polite: 2nd_person
ym_2023-03,0.006362472662323114,0.006362472662323114,YM: 2023-03
emb_pc1,0.006316585595689139,0.006316585595689139,Embedding PC1
ym_2021-12,0.006092580044500321,0.006092580044500321,YM: 2021-12
q_poly_feature_politeness_==SUBJUNCTIVE==,0.006075627324830734,0.006075627324830734,Polite: SUBJUNCTIVE
log_thanks,-0.0060048946609613865,0.0060048946609613865,Thanks received
q_persp_threat,0.005793128521991614,0.005793128521991614,Persp: Threat
q_is_weekend,-0.005634744251203638,0.005634744251203638,Q on weekend
q_poly_feature_politeness_==Apologizing==,0.005530720931734498,0.005530720931734498,Polite: Apologizing
q_is_indented,0.005272251472498122,0.005272251472498122,Q indented
ym_2023-04,0.005208572717242872,0.005208572717242872,YM: 2023-04
q_poly_feature_politeness_==HASPOSITIVE==,0.005192547989914218,0.005192547989914218,Polite: HASPOSITIVE
ym_2022-10,-0.005105535816627031,0.005105535816627031,YM: 2022-10
emb_pc8,0.004560736701770302,0.004560736701770302,Embedding PC8
emb_pc18,-0.004037785452654675,0.004037785452654675,Embedding PC18
q_weekday,0.0037455670430627105,0.0037455670430627105,Q weekday
q_persp_flirtation,0.003709842991593691,0.003709842991593691,Persp: Flirtation
active_span_hours,-0.0036494735816173626,0.0036494735816173626,Active span (h)
q_has_url,-0.003482860397267292,0.003482860397267292,Q has URL
ym_2025-04,-0.0033910740272044128,0.0033910740272044128,YM: 2025-04
q_poly_feature_politeness_==Factuality==,-0.0033420893314384924,0.0033420893314384924,Polite: Factuality
ym_2025-03,-0.0033304242832332617,0.0033304242832332617,YM: 2025-03
n_abuse_warn,0.00326615899777053,0.00326615899777053,Abuse warnings
draft_ratio,0.00282479710143251,0.00282479710143251,Draft ratio
ym_2023-11,-0.0024074725757908975,0.0024074725757908975,YM: 2023-11
hours_since_last_edit,0.002176191345418234,0.002176191345418234,Hours since last edit
q_poly_feature_politeness_==2nd_person_start==,0.002101654106972921,0.002101654106972921,Polite: 2nd_person_start
tag_mobile,-0.0014711614581235785,0.0014711614581235785,Mobile edit
ym_2021-06,-0.0013388310241900419,0.0013388310241900419,YM: 2021-06
emb_pc14,0.0012571000273116804,0.0012571000273116804,Embedding PC14
ym_2022-09,0.001042518832260044,0.001042518832260044,YM: 2022-09
ym_2024-03,-0.0009503320183417486,0.0009503320183417486,YM: 2024-03
q_hour_utc,0.000650547224309202,0.000650547224309202,Q hour (UTC)
ym_2023-09,0.0005316155284043154,0.0005316155284043154,YM: 2023-09
ym_2022-12,0.00035703895484204604,0.00035703895484204604,YM: 2022-12
q_vader_compound,-0.0003181868511307022,0.0003181868511307022,Sentiment (compound)
ym_2024-10,-0.00015966504679104516,0.00015966504679104516,YM: 2024-10
n_ai_reverts,0.0,0.0,AI reverts
