group_id,qc_label,conversation_id,active_days_14d,active_days_30d,retention_14d,mentee_n_edits,mentee_n_edits_7d,mentee_acct_age_hours,mentee_mainspace_ratio,mentee_mobile,mentee_visualeditor,mentee_revert_rate,mahal_to_anchor,max_group_mahal,reply_words,reply_lag_hours,question,reply
8,qc_6,38350,0,0,0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.14,1.77,38.0,2.9,how to change my user name?,"@: You can post on [POLICY]. However, I also happen to have the ability to [WIKILINK], so please let me know when you make your request. I will process it as soon as I get the chance. ([WIKILINK]/[WIKILINK])"
8,qc_6,12781,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.17,1.77,38.0,2.9,how to change my user name?,"@: You can post on [POLICY]. However, I also happen to have the ability to [WIKILINK], so please let me know when you make your request. I will process it as soon as I get the chance. ([WIKILINK]/[WIKILINK])"
8,qc_6,36573,0,0,0,2.0,2.0,2.7,0.0,2.0,0.0,0.0,1.17,1.77,3.0,2.3,How can I change my user name,@ See [POLICY]
9,qc_13,3370,5,5,1,3.0,3.0,165.8,1.0,0.0,0.0,0.0,0.0,3.53,89.0,0.2,"hi, DoubleGrazing. I was wondering how to add an image to a page?
-Myrmecophilioma","Hi @,
I assume you mean an image that has already been uploaded into Wikipedia or the Wikimedia Commons? In that case it's done like any wikilink, with double square brackets, pointing to the image file name (instead of to another page), for example:
...which gives you:
You'll notice that I placed a few optional parameters after 'pipes' ( | ), namely
thumb = makes it a thumbnail
left = floats the image to the left margin
text = captions the image
You can read more at [POLICY].
HTH,"
9,qc_13,25290,3,4,1,26.0,12.0,451.8,1.0,26.0,25.0,0.038,2.91,3.53,77.0,10.5,How to add picture in a page?,"Hi, Pramit004! [HELP_PAGE] explains how to add an image into an article. If you want to add an image that's not yet on Wikimedia Commons (a sister website hosting pictures), [POLICY] has an explanation for that. You can also check out [POLICY] and [POLICY], which describes the context you should use images in. In short, there's a lot to consider when adding an image, but once you've done it a few times it becomes easier. Happy editing!"
9,qc_13,5144,0,0,0,1.0,0.0,337.2,1.0,1.0,0.0,0.0,1.69,3.53,62.0,0.2,How do I add an image that i have on my photos to a page?,"Hi Cameron.B27. If you have a photo that you took yourself, and if the contents of the photo do not infringe on anyone else's copyright, you should upload it at [WIKILINK]. You can then insert it into an article here following the guidance at [HELP_PAGE]. Let me know if you have any questions about the specifics of this process. ( / )"
9,qc_13,26472,0,0,0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,3.12,3.53,36.0,51.1,"hello, how do i add pictures to a page that im making?","Leopold C. Merriweather Hello, and welcome to Wikipedia! Take a look at these two pages: [HELP_PAGE] and [HELP_PAGE]. These should answer your question. Happy editing, and let me know if you have any further questions! '"
9,qc_13,14102,0,0,0,3.0,3.0,0.4,1.0,3.0,0.0,0.333,3.19,3.53,256.0,45.4,Would like to add a picture to a page,"Highwayman10419Good day. Here's what you need to do to follow the process:
:(A) Ensure You Own the Image: You must be the original creator (i.e., the photographer or illustrator) of the image to hold the copyright.
:(B)Understand Wikimedia Commons and Wikipedia Copyright Polices:
:(1)[POLICY] outlines the need for clear ownership and release of works under free licenses.
:(2)[POLICY] provides guidelines on what kinds of images are acceptable on Wikipedia.
Make sure your image follows these rules, and that you're okay with releasing it under a free license, such as Creative Commons.
:(C)Upload the Image:
:(1) Go to Wikimedia Commons Upload Wizard - see [LINK].
:(2) Follow the steps to upload your image. You'll need to select a license, likely a Creative Commons license, that allows others to reuse the image with appropriate attribution.
:(3) During this process, you'll be asked to irrevocably release your copyright, making the image freely available for others to use.
:(4) Get the File Name: Once the image is uploaded, you'll be provided with a file name in the format File:Example.jpg. Copy this name.
:(D) Insert the Image into Wikipedia:
:(1) On the Wikipedia page where you want to use the image, use the syntax:
:(2) Replace ""Example.jpg"" with your file name and add a description of the image.
:(3) Ensure the image appears correctly and aligns with the content of the Wikipedia page prior saving the edit.
By following these steps, your image will be legally and properly uploaded for use on Wikipedia. Let me know if you need further assistance!"
10,qc_16,6439,7,11,1,20.0,20.0,137.0,0.7,20.0,19.0,0.25,0.0,3.41,500.0,29.7,How can I insert an image?,"Rew256 I am assuming you have already found an image image you want to use on Wikimedia Commons? If not, go [LINK] and type a keyword in the search box (it's at the top right in desktop view). If you find an image you like, but it's not quite the right one, you could click one or more of the ""Categories"" listed at the very bottom of the page. This helps keep related images together and helps you find others.
It could be [LINK] that you want to use. Using an existing one is easier that a brand new image of your own that you would first have to upload from scratch. So, click on the link in the previous sentence, or click the photograph you see here - you're taken to the same place - and look just above the picture, and beneath the filename where you'll see a line of five small links. Look for the link with the tiny Wikipedia 'W' logo and the words ""Use this file"". Click that link and select the text offered to ""Use this file on a Wiki as a Thumbnail"". (The convention is always to add an image as a thumbnail, no matter how much you'd love to make it larger.) Copy the link to your clipboard and then go to the Wikipedia page you want to add it to (let's assume we want to add it to the page we're on now). Edit the page (ie click the tab labelled Edit Source). Scroll down to the section you'd like to add it to, and paste in the text you copied at the very top of that section. By default, this adds the thumbnail picture and its caption on the right hand side of the page, as you see here. To change the caption text, just edit the text to the right of the vertical bar - or 'pipe'. Don't change the filename.jpg text itself or the image link will be broken. There are some useful links on this help page: [POLICY] with further guidance and tweaks, or detailed layout possibilities at [POLICY].
Of course, if you are using the alternative Visual Editor (which is a bit more [WIKILINK]), the process is slightly different. You once again navigate to the section where the image is needed, then, in the editing toolbar, click Insert > Media. At the search bar in the popup that then appears, type the keyword to search for certain image types, or just type in the filename of your image you've already chosen from Wikimedia Commons. Select the image and then click 'Use this image'. Before inserting it you'll be prompted to add a caption. Captions can include hyperlinks, but that's probably best left for another time. I hope this helps.
If you need advice on actually uploading your own image first, that requires a slightly different answer and a mention of copyright issues. Let me know if you need further help on that. Regards from the UK."
10,qc_16,28878,0,1,0,13.0,1.0,2612.1,0.923,13.0,0.0,0.077,3.25,3.41,155.0,79.7,How do I insert an image?,"Hello @, and welcome to Wikipedia! (Sorry for the wait; busy with real-life stuff.) To add an image, click . Try to an existing image on [WIKILINK], Wikimedia's free media repository. Once you've found the image, simply enter its file name and select the image. With the wikitext markup editor, you can also use wikitext:
To upload an existing image to Wikimedia Commons, ensure that either you created it and you want to release under a free license or it is [WIKILINK]. (Although [POLICY] can be uploaded locally to Wikipedia, the process is more complicated than uploading free media to Commons.) [TEMPLATE] first), and enter the file name you entered in Upload Wizard, enter a descriptive caption, then click . You just added a file to Wikimedia Commons! Now that the file is under a free license, anyone in the world can benefit from your file. }} For a more in-depth guide, see [HELP_PAGE]. ~~"
10,qc_16,22533,0,0,0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,3.4,3.41,41.0,2.8,How to insert image,"if the image you are trying to add is not uploaded, see [POLICY]. Note the restrictions on file uploads are very strict to comply with CC-BY-SA. Once it is uploaded see [HELP_PAGE] to insert it on the page. Hope this helps."
10,qc_16,32173,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.41,3.41,57.0,10.9,How do I add an image?,"Hello @. You can add an image on any page by typing the file name between 2 square brackts, such as . You can upload files using the [POLICY]. Feel free to ask your new mentor if you create another account for more details, or ask if you want to be assigned to me again. -- [POLICY]"
11,qc_16,32618,9,9,1,3.0,3.0,0.7,0.667,3.0,0.0,0.667,0.0,5.74,46.0,2.2,"Hello, how do I add an image? Thanks in advance","To upload a new file, go to [POLICY] or click the ""Upload file"" button on the left sidebar. To add an already existing file to an article or page, add the text [WIKILINK] to an srticle. For more info, see the page [HELP_PAGE]. ( · )"
11,qc_16,30710,0,0,0,2.0,2.0,0.2,1.0,2.0,1.0,1.0,3.33,5.74,18.0,1.6,How do I add an image?,@: Inserting a new [POLICY] can be done while you're editing the article. Example in basic [HELP_PAGE] .
11,qc_16,30017,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.42,5.74,69.0,151.3,"Hello, I’m a new user. How do we add images?","Hello, @! Sorry for the late response but you should view [POLICY] but most images are hosted on our sister project, [WIKILINK] instead of English Wikipedia. If you are wanting to upload an image that isn't free, like it isn't released to the creative commons or is under a public domain licenses, then they have to be hosted on English Wikipedia which you can read that in [POLICY]. Thanks,"
11,qc_16,39291,0,0,0,1.0,1.0,0.1,0.0,1.0,0.0,0.0,3.5,5.74,208.0,0.9,Hi how do I add a image,"Hi ! Welcome to Wikipedia! So, there are a few things you have to do in order to add an image to a page on Wikipedia. If the image doesn't already exist as a file on the project (it's neither uploaded to the English Wikipedia locally nor uploaded to the Wikimedia Commons so it can be used globally), you will need to upload the image first. Wikipedia has a guide page that's located [POLICY] that will assist you. When reading through the page, you'll notice right away that much of the information and details are in relation to copyright rules and policies. You must make sure that any and all images you upload are in compliance of Wikipedia's policy on [POLICY]. You cannot violate copyright policies; doing so is considered a serious offense, so please please ask for help in cases where you're not sure if the image is in compliance of policy or not. After you've either uploaded or located the image you wish to add to another page, this Wikipedia [HELP_PAGE] will show you exactly what to do in order to display that image. Please let me know if you run into any more questions, and I'll be happy to answer them and help. :-) Best"
12,qc_22,40662,9,23,1,5.0,4.0,279.1,0.8,3.0,1.0,0.2,0.0,4.52,21.0,0.8,I have created a page in my sanbox. How can I publish it?,", it looks good. There should be a “Move” tab at the top. Would you like my help to do it?"
12,qc_22,1592,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.7,4.52,21.0,0.8,I have created a page in my sanbox. How can I publish it?,", it looks good. There should be a “Move” tab at the top. Would you like my help to do it?"
12,qc_22,35771,0,0,0,8.0,2.0,1547.6,0.75,0.0,8.0,0.0,3.22,4.52,24.0,19.6,"Hi, how can I publish a page publically? I have one sandbox and a user page with the same content.",":Pmukt.97, It is currently at [DRAFT], where you can submit the draft for review, but make sure to add references before you do that."
12,qc_22,33816,0,0,0,1.0,1.0,135.6,1.0,0.0,0.0,0.0,3.82,4.52,13.0,4.8,"I've made a draft of a page in my sandbox, but I don't know how to publish it",@: You can add [TEMPLATE_REF] to the top of the page. ~ ~
13,qc_22,11292,3,3,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.34,28.0,2.4,Where is my sandbox please,@ welcome to Wikipedia! A sandbox now exists for you at at . Since it didn’t exist before I technically had to create it. ~ (he/him • )
13,qc_22,225,3,8,1,4.0,4.0,29.5,0.0,0.0,1.0,0.0,2.71,3.34,30.0,6.0,where is the sandbox,"It depends on what skin you are using. I'm not using the most recent skin so I can't tell you. For me, it's at the very top of every page."
13,qc_22,2080,0,0,0,1.0,1.0,6.4,0.0,0.0,0.0,0.0,1.66,3.34,9.0,3.2,where can i find my sandbox?,Hi @ your sandbox is at . Happy editing!
13,qc_22,2622,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.66,3.34,14.0,2.8,"Hello, how do I access my sandbox?",@ you can access here or click in the link at the right topbar
14,qc_24,6029,3,4,1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,3.08,187.0,1.0,"how do I save a draft, without having to publish it?","Hi Fripper23, You click on the publish button, which saves the page in draft space. This happens because you created the article in Draft space (it has the prefix ""Draft:""). To publish it in mainspace, the article must be renamed in a process called ""moving"", which publishes it in article space for the world to see. If you want you could alternatively save your drafts in user space, where they will mainly be ignored until you are ready to move them elsewhere. A lot depends on how soon you want them to be examined by someone else. If you expect the article to be ready soon, draft space is good, as you are more likely to get helpful suggestions. User space is good for something that may take a longer time before it is ready. As the article title suggests it will be about a recognised species, it should be easy to prove notability and should not take long. You are welcome to ping me from the talk page of the article while you are developing it if you want me to take a look. Cheers, :"
14,qc_24,2558,0,0,0,0.0,0.0,84.3,0.0,0.0,0.0,0.0,2.33,3.08,58.0,8.5,"Hi Robert,
How can i save my draft without publishing it ?","@ hi. I see that you have already saved something to your user page. As it is, the content is [POLICY] and may likely be subjected to deletion. Do keep in mind that [POLICY]. I suggest moving it to your sandbox, i.e. at where you can further work on it to make it less promotional. See also [POLICY]."
14,qc_24,9059,0,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.62,3.08,133.0,7.5,Hello! How do I publish a draft?,"Mattdimarc, well at the moment your draft has been put up for review, which could take a little bit, so be patient. However, your draft as it is currently will not be accepted, because it does not show that you are [POLICY]. To fix that, you will need high quality [POLICY]. I have just declined your draft to that effect. At the top will be the decline reasons. You should follow some of the blue links and learn more about the process. Also, you should realize that your draft is written like an advertisement. Wikipedia is not for promotion. Our articles are written [POLICY], in an encyclopedic style that does not puff up the subjects. There is definitely a lot to take in here, so don't be afraid to post followup questions :)"
14,qc_24,25593,0,0,0,0.0,0.0,334.9,0.0,0.0,0.0,0.0,3.08,3.08,43.0,0.2,"Can I save my draft without publishing it? If so, how?","@, welcome to Wikipedia! ""Publish"" and ""save"" are the same thing - wikipedia is a constant work-in-progress that we edit live. If you don't want to make edits on a page in mainspace for whatever reason, you can create a draft through [POLICY]."
15,qc_24,38919,3,3,1,2.0,2.0,4.1,0.0,0.0,2.0,0.0,0.0,3.83,13.0,0.8,"Hello, How can i submit my draft for review?",:Please review [POLICY] and let me know if you have any questions! '
15,qc_24,39116,0,0,0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,2.72,3.83,13.0,8.8,where can I submit my draft for review?,@ these issues have already been addressed at by the looks of thing
15,qc_24,7556,0,0,0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,3.39,3.83,21.0,13.2,"Hey, can you please let me know how can i submit my draft?","Laibadotawais its at the top of your draft, in white letters, with blue background, saying ""submit the draft for review"". —usernamekiran"
15,qc_24,4600,0,0,0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,3.83,3.83,31.0,6.3,I've published a draft but don't see a submit for review button,"Thechosenone53 If you mean [DRAFT], it seems you found how to submit it for review, as it is currently waiting to be reviewed. If you mean something else, let me know."
16,qc_32,11684,4,4,1,4.0,4.0,0.3,0.25,0.0,3.0,0.5,0.0,2.87,63.0,0.1,How do I publish an article,"Hello Therian Controls! If you want to write an article on Wikipedia, you start by finding reliable sources about the subject you want to write about. Then you can use those to start a draft with [POLICY]. One important thing is that articles cannot be promotional. The text currently written at would not be accepted because it describes a product using marketing-like language."
16,qc_32,18512,0,0,0,1.0,1.0,0.6,0.0,1.0,1.0,0.0,2.66,2.87,25.0,7.3,How can I publish my own article?,"Hi @, you can use the [POLICY] to create an article. Keep in mind the key policies of [POLICY], [POLICY], and [POLICY] when writing articles."
16,qc_32,19072,0,0,0,3.0,3.0,4.4,0.0,0.0,0.0,0.0,2.82,2.87,19.0,0.2,"hi, how can i publish my article?","Smmama I've responded on your talk page. In short, I strongly advise you against writing an article about yourself."
16,qc_32,26557,0,0,0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,2.87,2.87,99.0,35.8,"Hello!
How to publish article?","Hello LAKSHIT16092011|p= and welcome to Wikipedia! Thank you for being willing to jump into creating a Wikipedia article. It may be tricky for you to start editing by creating an article, because creating articles on Wikipedia are very difficult. There are many technical aspects to Wikipedia that take a lot of learning, but some of the tasks at the [POLICY] can help you learn those things. For example, all subjects of Wikipedia articles must pass our [POLICY]. If you're still interested in creating an article on something, the instructions at [HELP_PAGE] are very informative. Cheers and happy editing! '"
17,qc_32,3849,3,7,1,5.0,5.0,26.0,1.0,0.0,0.0,0.0,0.0,4.6,29.0,13.4,How do I publish an article?,Hi Volkan Agha and welcome to Wikipedia. [HELP_PAGE] explains how to publish a draft article. My welcome message on includes additional links that provide guidance on how to edit.
17,qc_32,38384,3,3,1,8.0,8.0,119.9,1.0,0.0,8.0,0.0,3.58,4.6,4.0,14.2,How do I publish a new article?,"@, see [HELP_PAGE]. '"
