cluster,label,n,retention_rate,retention_2d_rate,sample_questions,mean_r_words,mean_r_sentences,mean_r_type_token_ratio,mean_r_n_question_marks,mean_r_has_greeting,mean_r_has_thanks,mean_r_n_policy,mean_r_n_wikilink,mean_r_n_link,mean_r_n_resources,mean_r_pronoun_you_rate,mean_r_pronoun_i_rate,mean_r_pronoun_we_rate,mean_r_vader_compound,mean_r_tb_polarity,mean_r_flesch_kincaid,mean_r_has_steps,mean_r_reply_lag_hours,mean_r_reply_q_word_ratio
9,cluster_9,449,0.0869,0.0401,"Hi ! I am here to create my company's page. Can you help ? ||| Sir did try may time to create my page professionally but it can't be show please can you help me ||| Hi! My name is Maxim. I would like to write an article about GreenCitizen company. Is it possible? ||| How I can create a new page , about startup Brands and struggling Jewelry brands... ||| I want to create an author page, how do I do that? the author has publications on Amazon.com as well was a Patron to several well known charities over the years.",61.7261,4.1136,0.8463,0.1804,0.4254,0.0802,2.0512,0.1604,0.029,2.441,0.0595,0.0159,0.0039,0.4537,0.1563,7.6912,0.0045,38.59,4.1491
10,cluster_10,400,0.105,0.0525,"I want to publish an article about a project can you please assist me to publish it on Wikipedia ||| How can I post my own profile on Wikipedia ||| Hello, I want to put the data for Tito Munshi in Wikipedia. could you please help me regarding this? ||| Hello Dear Mr DanCherek,
I am from Hong Kong, China, and I am new to Wikipedia. My attention is drawn to the case of Kris Wu sex scandal, where I found a lot of partial and misinformation, which invariably leads readers to a biased judgement. I would like to add more follow up information to this page as the case is controversial but the Chinese government do not encourage, if not forbid, public discussion on this case.
Would you please tell me how to add more information to this page ? I won't  ||| Hi,
I am used to publishing articles related to the origins and learning of the Hebrew language and would like to post some of those on Wikipedia.
I use a lot of graphics and charts there.
I have PDF outputs of those. What can you suggest, to effectively post those on WP.
Thanks in advance.
Yoel",49.4225,3.6225,0.8728,0.2,0.3825,0.0925,1.15,0.0775,0.04,1.47,0.0624,0.0145,0.0035,0.4259,0.1663,6.7554,0.0,34.8423,3.1925
11,cluster_11,413,0.0896,0.046,"Hey, how are you? I wanted to ask, what are some easy Wikipedia articles I can do? I like video games so perhaps some video game articles or maybe some superhero movies like X-Men ||| hello, so i am new to wikipedia and I have a doubt, there is a new thing called homepage, it was not there before so what is it? can you tell me about it. ||| Hi, I want to write about myself in Wikipedia. How can I do it. All the best. Dwarika Nath Dhungel. ||| hello sir
we have run a news website for three years. we want to create a Wikipedia page for our website. please help us for making a page on Wikipedia ||| Hi and thank you for being available for my questions. I am working with a conductor and I want to make a Wikipedia page for her but...and this will sound silly...I am having a little bit of trouble in starting this aka where do I begin? :) I have all the materials ready (text, photos, links). What would you recommend? thank you so much in advance",60.3608,4.0557,0.8521,0.1671,0.4358,0.109,1.8402,0.2518,0.0291,2.3099,0.0645,0.0177,0.0041,0.5004,0.1968,7.8156,0.0121,28.3518,3.2387
12,cluster_12,206,0.1796,0.1117,"Hello, I want to add a new page for Dr. Chadi Nabhan ||| Hello! I'd like to add a page of an actor that does not have a wikipedia page yet. How can I go about that?
Thank you! ||| Hi Royiswarlii, I opperate a free secular Buddhist organiztion, can I add my group to the bottom links on pages related to Secular Buddhism? ||| Hello Michael,
I am absolutely new to Wikipedia , I would highly appreciate if you could help me get started on posting my article related to spirituality. I am unable to load the images as well?
Thanks , Peace & Blessings ||| Hi sir !
I would add more authentic information about history of Kashmir
Eg .Buddhism in Kashmir ,can you guide me .
Thanks",55.9417,3.9466,0.8679,0.2573,0.3981,0.0825,1.3932,0.3301,0.0874,1.9417,0.0524,0.0184,0.0027,0.4258,0.1872,7.0136,0.0,63.9682,2.1863
13,cluster_13,459,0.1656,0.0523,"I want to write a cover page for my husband's memorial ||| Hello, Happy Father's Day - in America, notwithstanding the all the world's fathers. I had made an addition to my hometown's list of notable people years ago, and I was hoping to do the same for an another noteable person from my hometown. ||| Good morning Mentor. I'd like to place a biography of Henry Julius Wetenhall Tillyard on Wikipedia. The last time I placed one was in 2013 & concerned his sister Aelfrida Catharine Wetenhall Tillyard but techniques have become more complicated since then! My HJWT article is ready on paper to input but I need help to do it. Can you advise me please? Sheila Mann ||| Greetings: This is the small edit which I sought to add to my profile:
Moffett served a House term from 2017-18 and was assigned to the Education Committee. After narrowly losing a reelection bid in 2018, he returned to the House after the 2020 election, when he won handily in Merrimack County District 9 (Canterbury and Loudon, now District 4). In 2021 he was assigned as vice-chair for the House Committee on State-Federal Relations and Veterans Affairs. After winning reelection in 2022 he was na ||| How do I edit my own chat message? It dealt with the Laurel Grove Cemetery in Savannah, GA. Need to resay my blurb was in error inre Capt. Peter Wilterberger association with that cemetery. His was Evergreen from Bonaventure. Thank you in advance.",57.3203,3.9608,0.844,0.3181,0.3638,0.159,1.0392,0.3595,0.1024,1.6362,0.0558,0.0184,0.0037,0.4922,0.2001,6.8106,0.0,38.6955,1.7388
14,cluster_14,352,0.2472,0.1364,"Hello Asilvering,
A friend of mine has asked me to create a bio page for her. I have done so in the 'sandbox'. How do I get that published publicly?
Regards,
Brianssw ||| Hello, I wrote an article about the goberment of the kingdom of Bir Tawil in my sand box and know I don't find it. Do you know what had happened?
Thanks for reading the doubt.
Gonzalo2025 ||| Hi there,
Im trying to find the move option from sandbox, which is not really appearing in the tool menu. Can you please help me regarding that? Thank you. ||| Hello Friend,
I'm trying to make a wikipedia page and I'm building it in my sandbox to test things out before migrating to an actual page. I have discovered wikidata pages and read that when you make a wikipedia page, a wikidata page is generated automatically.
Is it possible to create a wikidata page that is connected to my sandbox?
Sorry, autocorrect, hello Ferien 😁 ||| Hello, how am I able to officially publish an article that I made in sandbox ?",61.4347,4.2159,0.8441,0.233,0.4148,0.1165,1.1562,0.108,0.0483,1.4545,0.0661,0.0187,0.002,0.4921,0.2206,6.3853,0.0028,38.3294,2.7477
15,cluster_15,364,0.2802,0.2033,"Hello my mentor, I wanted to ask which is the best way to access a draft in wikipedia? from my understanding I think the only way to access a previously written draft is to just go on my watchlist and click on the raw pages, then just follow the link on my previously written drafts. Is this the way to access it? Thank you so much! ||| Hi Shellwood,
I'm trying to create a page and my first attempt was declined, with a note to say it needed more reference citations. I have now done that, but I'm unable to resubmit the article for consideration as I get a message saying the panel in which the button is housed is a template.
Can you advise me on how to resubmit my article please?
Thank you,
Tricia ||| Hi Ritchie,
I can't tell if the entry about Eden Health I just did is submitted for review or it's still in draft. ||| Hi! I made a draft back in September but it hasn't been approved and I can't find it anywhere - please can you help? ||| Hello! I've been working on creating new articles and most things are going well so far. The one spot I keep getting stuck with though is how to create drafts that I can save. I see there are a couple different ways to do this. The first seems to be the draft space. and the second is by making drafts in my userpage. I was able to find a page that has a linked template for creating new articles in draftspace, but can not figure out a way to easily make ones in my userpage. I also can figure out a",59.7857,4.033,0.8435,0.2445,0.3571,0.1209,1.0934,0.1181,0.0412,1.3297,0.057,0.021,0.0016,0.4389,0.1503,6.6437,0.0027,40.7252,3.123
16,cluster_16,564,0.1348,0.0727,"How soon does an article take to get approve by wikipedia and what are the signs to know if my article is doing well and going to be considered for approval. ||| Hello. I really like your moniker, especially since my son is an ATC.
I have created an article about a living person. I am quite confident it is worthy and relevant to be published; however, it is about a person with whom I am acquainted. Where can I put the article so independent review before publishing can be adequately obtained? I have followed all of the article creation guides, and the article is neutral, not promotional, but definitely informational for the group of individuals who are i ||| How do I publish an article that shows new scientific discovery? ||| Hi.Hope you are doing great.How long does my new article get to be live? ||| Hi Rambley,
How can I submit an article for review? It is an article that my brother wrote on the history of the Griffith - Peale House in Philadelphia. He does not have internet access and asked me if I could post it to Wikipedia",59.5887,4.0035,0.8493,0.2163,0.4025,0.1223,1.3528,0.1809,0.0426,1.7589,0.0557,0.0174,0.0029,0.4438,0.1823,6.9016,0.0,54.5732,4.5841
17,cluster_17,353,0.3088,0.1841,"Hi! you seem cool as hell. I happen to really enjoy naval history, and have read pages you've written before, which feels really cool. I've been meaning to make an account and do edits for years and I finally sat down to do it. I have a few questions.
1. if I am writing a new article (without a citation format to default to) is there a recommended choice?
2. If I am unsure as to whether something should be edited (I don't like the wording/feel it could be written better, etc.) should I just edit ||| What do I do if this article was recommended to edit, yet it seems almost perfect? ||| Hi, when Iḿ doing the short fixes on articles should I just look for sections with headers (like the ones saying that it needs a more neutral tone), or should I do the whole article? ||| How do I respond to the misrepresentation of the other Elaine McKenna? ||| How do i nominate an article for DYK on the main page?",56.1898,3.9745,0.8556,0.2606,0.3853,0.1105,0.9037,0.2606,0.0708,1.3853,0.0518,0.0244,0.0015,0.5076,0.201,6.6824,0.0057,58.8447,2.961
18,cluster_18,598,0.3662,0.204,"Can I view my finished edits before I publish them? ||| How to enable the Visual Editor? Recently it got disabled (the option greyed out) with no specific reason. ||| Hi!
I got a weird question...
But you just gotta listen a bit...
I started this editing stuff a month ago and...
All I did was put teams in the Verbandspokal and put new scorelines in these german leagues
Now...
Do you think that I should try more ""complex"" editing?
Or should I stick with these simple,little edits? ||| Hello Aylo,
When i open my User contributions, i find out that there is green numbers with a plus beside them , and (current), can you please explain to me what do they mean?
Thanks, ||| Hello and thanks for helping a newcomer.
I am trying to edit a section of Maxwell Equations called Charge Conservation and I copy and paste an equation and change it. But it shows up as source code NOT as final format. I somehow have not turned on the right editor. Sorry for being so stupid",46.4983,3.3679,0.8707,0.2542,0.3712,0.107,0.5686,0.1271,0.0635,0.908,0.0601,0.019,0.0017,0.3915,0.1684,6.4835,0.0,30.5294,3.0935
19,cluster_19,209,0.4067,0.2392,"Hello, how do I create a link for my Wiki ||| Hello EpicPupper
How can I add link to a specific part of a article in Wikipedia ? ||| How do I embed a link? ||| Hello HouseBlaster,
I have a couple of questions about editing. I am working on a page and one of the topics is the 1970 Cincinnati Pop Festival. It was filmed for TV and the broadcast was called ""Midsummer Rock"". Now, I have seen search results for things I searched that didn't have a page, but when I click them it redirects you to the appropriate page of a similar name. ""Midsummer Rock"" has a page but the 1970 Cincinnati Pop Festival doesn't. My first thought was to make an active link for 197 ||| How do I highlight in blue items (words) that refer back to articles that provide additional information about that topic of word that currently exists in wikipedia?",48.8995,3.5933,0.8586,0.2105,0.3636,0.1148,0.7225,0.6507,0.1196,1.7943,0.0457,0.0164,0.0017,0.4219,0.1296,6.2281,0.0,29.5829,2.6391
20,cluster_20,915,0.377,0.2164,"Hello. My references are broken, i need help fixing them. ||| how i suggest best reference website and add reference website for incresing wikipediya ||| Hi, I just made my first edit by correcting some information on the Sarasota County Libraries page. I made a change to the 4th paragraph but I might have accidently moved the references up. I'm not sure how I made this mistake and am unsure of how to fix it. If you could help that would be lovely. ||| Hello ,how do I create a citation ||| How do you add a referenced source to the article when editing?",44.9464,3.3858,0.8775,0.1891,0.4328,0.0863,0.7235,0.1311,0.059,1.2973,0.0473,0.0169,0.0014,0.4682,0.2177,6.0355,0.0011,42.8448,3.1598
