question_cluster,label,n,retention_14d,retention_2d,sample_questions
14,qc_14,56,0.3036,0.125,"Hi Fieryninja, tnx for the mentorship!
I was reading an article about a company I was working in, and then I saw that the logo in the article is their old one. I said it can be cool to learn how to change this type of stuff i occur on a daily basis. Any clue how to change such an image?
Tnx again! ||| Hello. I work for a company that has just re-branded and am just trying to update our Wiki page so that it has more up-to-date and correct information (which I think I've done). I can't figure out how to upload the new logo. Can you help with this? ||| Hi, I""m trying to change the logo on the Portage Terriers page and it isn't working. It just defaults to the old logo. ||| Hey Glane, hope you are doing well. I was editing a page that had no logo, and I found its logo on Google available publicly. But somehow I am not able to upload it; neither for that page nor for any other page. Could you please guide? ||| Hi Eli, I am a CMO at uShip and we would like to update our company information here: [LINK]
Can you please guide me how best to do this?"
15,qc_15,48,0.2917,0.1042,"hello ,i want to edit the photograph of bakin pertin ||| how do I change the photo of me someone posted here ||| Greetings DanCherek,
As a new editor, I made an error in the file name of a photo file I uploaded. It would be helpful to have this name corrected. Since it was uploaded recently it is likely to have had little or no use. The reason for the file name request is shown on the file's page. [LINK]
Thank you for your offer to mentor. Best Wishes. ||| how do i change a cover picture? ||| Change image"
16,qc_16,72,0.25,0.1806,"How add images ||| How do I add images to my post ||| Hello, How do I add an image ||| Hello, how can I add image to my background information ||| Image insert"
17,qc_17,139,0.1439,0.0647,How do I add an caption to a picture ||| How do i add pictures? ||| HELLO!! I just wanted to know how you add pictures to yk th text or passage I think thats what it’s called.! ||| Hello how can I add photographs ||| Where does picture go?
18,qc_18,28,0.0,0.0,"Hello mam
How can I post an article ||| How can I post own article ||| I want to post my first article ||| I want to post article ||| hei Mujinga, how do I post my article"
19,qc_19,70,0.4286,0.3,"how do i edit a table cell ||| Hi, I am attempting to add a entry to a sorted table but the formatting appears to get messed up ||| I want to add a line to an existing table ||| Hello, if i am editing somewhere with numbered columns, how do i add something straight to the top without disturbing the other columns? ||| Good day to you!
Just a minor question: how does one go about editing tables? There are two rows labeled ""36"" that need cleaning up here. [LINK]"
20,qc_20,22,0.0455,0.0,"Hello. I would like to write an article about Zaharia Cusnir, a photographer from Moldova I discovered some years ago. Do you want to help me to make this article? ||| Hi. The is this emerging artist that is coming out of Jouberton, South Africa, so i want to create an article about him, how can i do so? ||| I'd Like to Create a Wikipedia Description page about someone from South Africa, who has Achieved Quite a lot. ||| Hello my name is Castro and I want help writing a biography about my father who is a Tsonga village king in limpopo south Africa ||| Hey, I want to creat a pa about Aneliswa Mgabadeli, how can I do that?"
21,qc_21,25,0.08,0.04,"Hi, what is best way to put up school subject syllabus ||| I want to write an article for expressing my school history and imformation ||| I want to write about my school, Fjölbrautaskóli Snæfellinga, wich is að gymnasium or upper secondary school in west Iceland. Where do I start ||| Hey, I want to add some information to my school's wikipedia page since there isn't much on it about recent events. How would that work? ||| Hello,
I would like to create a new Wikipedia article for my school. I am the founding principal of a new international school in Taiwan and this school does not have a Wikipedia entry as of yet."
22,qc_22,352,0.2528,0.142,"Hello Asilvering,
A friend of mine has asked me to create a bio page for her. I have done so in the 'sandbox'. How do I get that published publicly?
Regards,
Brianssw ||| Hello, I wrote an article about the goberment of the kingdom of Bir Tawil in my sand box and know I don't find it. Do you know what had happened?
Thanks for reading the doubt.
Gonzalo2025 ||| Hi there,
Im trying to find the move option from sandbox, which is not really appearing in the tool menu. Can you please help me regarding that? Thank you. ||| Hello Friend,
I'm trying to make a wikipedia page and I'm building it in my sandbox to test things out before migrating to an actual page. I have discovered wikidata pages and read that when you make a wikipedia page, a wikidata page is generated automatically.
Is it possible to create a wikidata page that is connected to my sandbox?
Sorry, autocorrect, hello Ferien 😁 ||| Hello, how am I able to officially publish an article that I made in sandbox ?"
23,qc_23,36,0.0278,0.0278,"How can I find comment and meet new people here ||| hi
how can i post ||| How I can post ||| How can I post pictures ||| I want to post myself"
24,qc_24,381,0.2861,0.1995,"is there any way to save a draft when making an article? ||| Hello, do you review AfC as well? ||| Hi Geoff, nice to meet you. I am writing a draft article with a friend of mine on the Indonesian painter Affandi in Dutch (does not exist yet). My friend has drafted a first version in the sandbox. Can I edit this page? Also, I would like to upload a picture I took in the Affandi museum. Is this possible?
Thanks ||| Hi sir, how are you? I hope you are fine. My sister searched for a novel (Konfidenz) by Ariel Dorfman, which I read, and she couldn't find any article on Wikipedia. I created an article about it & I just wanted to ask it is in my User. Do I need to move it or when I published it, it automatically went for review? I will be eager for your kind reply. Thanks ||| Hi!
I have 2 questions:
1. I created a draft article that I submitted for review. An editor asked some questions, I answered those questions and made some edits and submitted the draft again, but I haven't heard back in a couple of days.
2. Some references links I used Saud the URL is wrong (even though I can click on them and they seem valid). It says the error is ""cite"".
Thanks !"
25,qc_25,38,0.2368,0.1053,"Hi!
I recently created a page for David Nasser. I do work for him and have strived to follow the disclosure COI rules for Wikipedia as best as possible. Right now I have submitted the article “David Nasser” for approval (I also made my best efforts to make this article legitimate, unbiased, and sourced for everything).
Do you have any idea how long I could expect the approval process to take?
Thanks! ||| in how many days my wikipedia profile will aprove ? ||| Hello, If I create a wiki page for a brand or a personality, how long does it get published. ||| I just finished edited a new page .How long does it usually take to hear if its acceptable for Wikipedia? ||| Hi Aafi, I've just seen that you're my Wikipedia mentor. Thank you for being there. I've just created new pages, I want to apologise that I made some edits to the text without leaving an explanation about what the changes were, I'm still learning my way around Wikipedia. I've submitted these pages for publication. Can you let me know approximately how long it will take for the pages to be published? Many thanks."
26,qc_26,26,0.0769,0.0,How do i start publishing? ||| I want to publish my brand I'm unable to publish help me ||| How can I publish on this platform ||| How do I publish this? ||| Hello how do I publish something
27,qc_27,22,0.0455,0.0455,How many time takes my page shown in Google ||| My page is not visible on Google ||| How does a page get indexed? Is it determined by the amount of edits it receives from users? ||| Why is there a line through my page? ||| I created a page but not showing in Google why?
28,qc_28,103,0.5825,0.3981,"Help! I found an article that I feel like I know enough about to create (Tupelocetus, and extinct protocetid whale) but can't figure out how to make the taxobox/etc work. I have all of the information, multiple sources, etc, I just don't know how to make it all come together. Any help is appreciated. ||| Hello Zippybonzo!
I have a quick question regarding the infobox -- is there any guides showing how to correctly edit and/or create an infobox? That's all, thanks!
Deuxde ||| Hi how can I replace photos in an election infobox? I tried doing that and I accidentally removed the photo ||| Hello dear Ser! Im a relatively new editor, and as you can see on my user page under the ""hhhh"" that i have tried to make infoboxes, but unfortunately can't. Is there anyway you could provide me with information on how to make them? Thank you! :) ||| Hi. I’m trying to make a page related to the Kurdish-Turkish conflict. But the infobox hasn’t been set ip. Do you know why? I’m quite new, thank you."
29,qc_29,34,0.1176,0.0294,"Hi! I created a company page for a company - how long do it usually take for it to get published? ||| I have a complete page I would like to contribute.
it is formatted and ready for review. how do this ||| Where do I see if my page gets deleted or never gets accepted? ||| Hello! I recently created a page on an indie band, Boys Go To Jupiter. I spent a while working on it, so I want to make sure I did it right. When will I know if it gets approved for publishing? ||| Hi Nick
I just published a page for my nephew Joakim Oldorff, a professional badminton player. I am not very familiar with the system, so what happens next? Will the page be checked first by someone and I will get feedback? I have photographers ""waiting in line"" to add some pictures of Joakim, once the page has been approved.
All the best
Johanna"
30,qc_30,87,0.1379,0.0575,"Edwin Lubinda how to I successfully publish a page ||| Hi Richie - I am not seeing how/where to publish a new page ||| Hwo do I publish my pages? ||| Kindly help me My page is not published yet ||| Hi, how can I publish my page like others for example about Gravitas"
31,qc_31,300,0.2467,0.14,"Hi. How can I see other languages for suggested edits? It only shows me pages in English ||| So how do I translate one of my pages? ||| hi.
it seems wiki chose you to be my mentor.
its an honor to meet you.
by the way, i have translated some topice and pages. but i dont see they are published, in fact they are marked az draft.
what sould i do so i can publicly publish them.
thnx ||| Is there any way i can get (mostly) danish editing recommendations? Right now it only suggest english language articles, and i want to make the danish side better. ||| Where I can find articles in my language more easier?"
32,qc_32,216,0.1111,0.0602,how can I submit my article? ||| Hello how can I publish an article ||| I have an article that can save milions with health how can I publish it. ||| How do I publish my own article? ||| Hi there! Do you have any tips for helping to get my article public faster? Thanks so much.
33,qc_33,37,0.3243,0.1892,"Hello. Good morning! I worked on two recent new articles but its over a month they haven't been reviewed. what do i have to do with them? Am scared working on new when i still have those un considered. ||| when is my article is going to publish ||| How long for the publishing the article? ||| Hi there, just wanted to know about how my article submission getting published. ||| Hola
Envié un artículo para publicación. ¿Cuándo podría tener una respuesta?
Saludos"
34,qc_34,87,0.3908,0.2644,"Good evening from Great Britain
I am trying to set up a subpage from my user page. I thought I had done it OK as described in [LINK]
I put a sentence of text on an apparent subpage but I can't find any link to it from my User page. That is to say that when I click on Special:Prefixindex/
no subpage shows in the drop-down and when I choose another page and click on Show, it flickers slightly then nothing happens ||| Would it be a good idea to create pages about youtubers Scorpionking279 and Monkeyking4753(Me) ||| Hi, could you please guide me on what I should write on my User Page? Thank you! ||| Hello, what is a user page? ||| Hi, I'm D.D.B2024,
How can I create a user page?"
35,qc_35,23,0.1304,0.087,"I want to add my new sutism center to Wikipedia. Is it possible ? ||| Hi Fulbert, thanks in advance for your help. I work at Qorvo, a semiconductor company, with its QSPICE(R) simulation software. I've been tasked with creating a Wiki page for QSPICE and then linking it to the main Qorvo wiki page. I've done a fair amount of wiki editing, I think my draft of a QSPICE page is in correct form and written in the proper way, but need some help getting started as I've not created a new page previously. Best Regards, Tim McCune ||| Hello , is there anyone bearing Humble baddo on wikipedia ||| At the moment I can only say hello.
I registered to correct some information about a computer game I support since 2001/2002.
We will see what I can do on Wikipedia.
Michael ||| Hi, can I update a wiki page about me?"
36,qc_36,26,0.0385,0.0,"good day i want to write an article about the biography of an artist ||| How do I write ✍ a bio for my self for my music ||| Hello I'm an artiste i need an artist bio how do i create one ||| Hi Rambley!
I would like your advice on how to create a well-structured and impactful biography based on my musical career as a public figure and electronic music artist. Could you provide tips on the key elements to include, how to highlight my achievements effectively, and any best practices for writing a professional yet engaging biography?
Thank you for your guidance!
Best regards, ||| I want write a biography for an artist how can I start?"
37,qc_37,132,0.0455,0.0227,"How to write a biography ||| hello
how to put my biography ||| Hey how do I start a biography for someone ||| Hello dear mentor, I an happy to be under your guidance, but before going too far, how can I write my biography on this media platform form ||| i'd like to write an article about myself actually my Biography how can i go about it"
38,qc_38,127,0.0945,0.0236,"Hi, I need to post a biography for a client. Is there a tutorial page for that type of article?
THANKS! ||| How can I edit my bio ||| Where do I post my bio ||| I was hoping to create a simple biography page, and have pasted a template in my sandbox. However, I can't work out how to change the template contents for my subject. Can you help? Thanks ||| Hello I want to know on how to add my biography about me, I already have a google knowledge panel"
39,qc_39,23,0.5652,0.3913,"Hello! How can I edit the info box of a political party so as to show the historical nuances of its ideology and political position more clearly? What code do I use? I have no knowledge on coding ||| i wanted to ask, im just making a military thing in sandbox for fun and im trying to add the flag of the first saudi state in the infobox military conflict template but i still cant find out what i need to write so it shows up. thank you ||| Hello AllyD, I was looking through the article on Dinghy racing and noticed that there was no mention of the importance of identifying flags from the Race Committee which are used to communicate with boats on the water. Anyone who races HAS to know what the flags displayed mean as there is no other way to communicate with them once they are afloat. There is a link to 'racing rules of sailing' towards the bottom of the article but I feel it's important enough to have a summary in the main headings. What do you think? ||| Hello I need to change the nz 4th olace to 3rd as the got 3rd not forth in the 1991 world cup ||| There is the flag of taliban which is not the national flag of Afghanistan so please kindly change the flag there.
Also our flag is a national flag which is n the heart of every Afghan. Our flag is made by three colors, black, red, and green.
Every color in the flag has a really difficult and long story.
We love those three colors and we are dieng for it. 🇦🇫❤"
40,qc_40,23,0.4783,0.3478,"Hi Asilvering,
I am editing my clients wiki and one guys started to revert the changes. How can I lock the wiki page? ||| Pls how can I lock my post so that Noone can edit it ||| I would like to lock a page . Someone who is a supporter of the subject of the article keeps changing it so that it loses it objective tone. ||| Hello can can you please protect this page ||| Question - there is one page where someone is slandering a friend and his business. I know how to edit and save but how can I guarantee that the other party won't come back and change it again? Is there a way to lock it so no more changes can happen"
41,qc_41,25,0.4,0.36,"Hello! For semi-protected pages, what would be the best way to go about making edits to gain experience and be able to edit them? Also, how does one enter a ""Talk"" section? Thank you for your time. ||| I want to edit a article of semi protection changes. ||| Hi.How to edit a semi-protected page? ||| Hello! How do I edit semi-protected pages? I already had more than 10 edits and my account is more than 4 days old. ||| Hello there, you have been assigned as my mentor. I would seek your help and interest in getting an article page protected for preventing vandalism. Please guide me accordingly. The page in question is 'Kopineshwar Mandir, Thane' which I have edited and improved. Because this is a religious place, I want to work forward to give it increased protection."
42,qc_42,26,0.1154,0.0769,"Hello mentor, quick question, I would like to change my name on Wikipedia. Any suggestion on how to do that? Thank you in advance. ||| Hello there
How can I change my name on Wikipedia ||| How to change email here in Wikipedia? ||| Note: 's mentor is away.
Hello, I am wondering how do I change my username on Wikipedia? Thank you! ||| How can I change my User name and link for my Wikipedia
Thank you
Happy new year"
43,qc_43,82,0.0488,0.0122,"I'm really making this account to try to create an Artist page for Bershy. ||| How to make a new page about an artist ||| Hey Tollens, can I create a artist page ||| Im tryna create an artist page for Rebel Nasty. How do i do that? ||| Hi, can i create artist pages?"
45,qc_45,22,0.1818,0.0455,"Hello Shellwood. I misspelled my user name as Bergonholm and it should be Bergenholm. Is there a way to change this?
Thanks ||| hello, just opened my page and made a spelling error on my, name
is Venturini instead of Venturin, can I change it?? ||| Good day. My first post on Wikipedia.
I have made a spelling mistake in my Username.
It must be DHPhotography Jeffreys bay and not
DHhotography Jeffreys bay. Please help ||| Hi there. I need to change the Header on Sir Michael Lyons page as he is no longer BBC Chairman and I want to take that out. How do I do that? Many thanks, Sally ||| Could you help me with a page move as the title no longer makes sense following a DoB updation"
46,qc_46,24,0.0417,0.0,"Hi I am interested in creating a whole new wiki for my guru . He has become quite well known since I first met him 18 years ago please guide if able:) Thank you M ||| I hope you are well my mentor , thanks for choosing considering me
About the person am editing on, she seems not to have more websites talking about her, not using 3rd party social media apps in this, where else can I get information to write about her? ||| Hi Ritchie333,
Could you please me in publishing my Wikipedia page.
Thanks ||| Hello Muffin, appreciate Wikipedia assigning you as a mentor. My karate teacher of 20 years passed away this week and he was very inspirational in the world of Martial Arts. Ideally, I'd like to create an article about him, even using the little information we do know, and built it over time - potentially linking out to the martial art he formed from his teachings over time.
Is this feasible? Where would you reccomend to start if so?
Appreciate any help and support. ||| Thank you mentor. Can I profile myself on Wikipedia? Like create a page for myself?"
47,qc_47,51,0.0784,0.0392,"Hi, i know a musical artist that i wanted to create a page for, is that possible? ||| Hi! Thanks for being my Mentor. How do I specify that my main interest and area of expertise is in the rather broad area of sound reproduction, sound recording, pro / amateur / home audio gear, soundproofing, noise reduction (including EMI / RFI), speaker design, mixing, mastering, mix translation, vintage music gear, analog synthesizers, portastudios etc. Thanks so much! Torin Krell ||| hi, how do I created a page about a music artist ||| Create a User Page for a Music Artist ||| Hi! How do I create a page for a musician?"
48,qc_48,51,0.1569,0.0392,"I posted an article about Sam Lewis, Nashville Singer and Songwriter. Is it published? ||| I would like to make a new article about a musician, composer, producer. How do I start? ||| Hello! I have always been wanting to make some songs have articles and been wanting to let users know what the song means or refers to. But I'm not sure how to (Because I'm new here), is there any way you can help me? ||| Hello, I am a musical artist and I want to create an article about myself. Is it possible? Thanks! ||| Hey Ferien! I'd like to create a full article about a musician, based in Vienna, and wanted to ask how to start off? I got very confused with some instructions and things I read here, and wasn't sure if that's even possible to do. So I don't want to edit anything which already exists but would like to create a full article myself, which has not been written yet :) Happy about any advice! Best, Ines"
49,qc_49,98,0.0714,0.0408,"Hello,
A wikipedia page on the person of interest and honor that I want to write about is already in German. Do I add to that page or create my own. This artist deserves a page in English as the artist created and lived in the United States, although traveled with a jazz musical group. ||| trying to set up a wiki page about an artist (myself) how do i do that? ||| Hello! Happy to have you as a mentor. I am sincerely impressed by your length of experience as an editor (and contributor) here.
Comment: I noticed recently that one of my favorite artists (abstract painter) doesn't have a wiki page and decided to take steps to create a page for him.
Question: while I do not intend to crate many pages, I am happy to contribute in this knowledgebase as much as time permits. Is it a lengthy process to crate a page? Appreciate any thoughts you may have on this... thank you in advance. ||| Hello!
How can i create a wikipedia page about an established musician/artist? ||| Hello
I am a composer and would like to write a wikipedia page about my work, performances, recordings, etc
What is the best way to go about this?"
50,qc_50,48,0.2083,0.0208,"Hi.
I am the label manager for Clutch's Weathermaker Music. Clutch's lead singer is Neil Fallon, who has a Wikipedia page. Neil asked me to find a way to delete the 2nd paragraph beginning with ""In a 2016 interview, ..."" under ""Personal Life"". Neil did not post this.
Thank you. ||| Hi Zoozar,
my name is Paulo Alves.
I'm currently researching the early days of recorded music,
I came across this article [LINK]
I have 19 volumes of original ""Talking Machine News"" publications Cica 1911 to 1916,
would it be of interest to photograph the content of the volumes the uplode it on to this article as Visual reference? ||| I don't want to edit, as much as post a new page in reference to and linked to a ""Mitch Bottler"" that is already mentioned throughout pages on Wikipedia in accordance to R.E.M.'s cover of Superman and a few more songs. ||| Hello. I accidently changed a photo on Robert Fripp's page to the wrong thing. It has been changed back. What should I do? ||| Hello. Re: Jimmy Buffett occupation_ I do not know how to edit. So I am asking someone who knows how to consider this, if possible- Jimmy Buffett in at least one concert in 2008, mentioned that his passport showed his occupation as ""Summer Extender"" It might have been tongue in cheek , or just for the crowd, but thinking about his music and his life, I think it would be awesome if we could add that to his ""occupation"". He certainly extended summer for his millions of fans. I know that this is not a true occupation per the conventional world, but JB was anything but conventional. Let me know what you think."
51,qc_51,57,0.1754,0.1228,"Hi. How do you upload an image for the page? For some reason someone deleted one I think. So it would be nice to re insert an image of the band? ||| Hi, how do I create a page for my band? I wish to list current members and performance dates along with a short biography. ||| how write article about my very notable garage band ||| Hi I'd like to start a draft about a band, what are the first steps in doing so? ||| Hi. I would like to write about a band from Malaysia. Where to start?"
52,qc_52,32,0.4062,0.1875,"Hi, I have made an edit on the ""Racks and quandles"" page just now, before I created the account. Is there a way for the edit to be linked back to me? ||| Hi there, my name is Jeffrey James Santora. I need help adding an article to Wikipedia for a new mathematical theorem and proof that I happened to stumble upon using an artificially intelligent chat bot (ChatGPT). I've never added an article to Wikipedia, however it shouldn't be too difficult to add this particular article with reliable sources due to it's mathematical nature. ||| I'm new to editing. I'm a Professor of Mathematics at the University of Illinois and I'll be doing mostly mathematics articles. Is there an easy way to add/edit math formulas? I'm fluent in LaTeX. ||| Hello,
How can I create a new Wikipedia page entitled ""Hyperquaternions"" defined as a tensor product of quaternion algebras which are Clifford Algebras and constitute a particular case of Hypercomplex numbers?
Thank you for your answer.
Best regards, ||| How do we get a collection of restatements of math conjectures? I know a few, but don't have sources outside my head."
53,qc_53,270,0.0889,0.0333,"Hello, I want to write an article about myself ||| How to make a article about myself ||| How can I write an article about my YouTube gaming channel? I want to spread my channel growth. ||| How do I create and publish an article on a personality ||| Hello, Please I wanted to create an article to talk about myself, can you please teach me how to do that"
54,qc_54,48,0.2917,0.1875,"Good Morning
Can you please tell me how to change the name of an article (in my case, to Jen Olive)? I’m very confused by this.
Thank you…Kevin ||| Hey, how can I change a title to this article. It surely is an anti-LGBT law by any means. But it would certainly be important to be a little bit more concrete:
I would suggest to name it ""Hungarian anti-LGBT education law"" ||| How do I edit someone’s name into A article ||| how do i change the name of the article i created ||| how do i change the article title?"
55,qc_55,53,0.0943,0.0377,"Sir, I want to change my username. Can you suggest to me how? I added a person's information here. I found the information about that person not available anywhere. So I try to add it here. Now how can I add the person's information here? ||| How can I upload my origin information, because it's not widely known? ||| I want to add myself ||| what is personal code? ||| Hello
Hiw can I add a new information"
56,qc_56,27,0.0741,0.037,"Hello
How are you ?
I wanted some guidance on how I can edit my profile ||| How do I edit and build my profile for other to access it online ||| Look I wanna edit my page write articles and put a Picture for the profile and possibly link ||| Hello i want to knows how gonna edit your profile ||| Hello how can I edit my own profile"
57,qc_57,68,0.0882,0.0588,"Hello please I need an assistant how I'm going to create this OkCupid ||| Hello. How do I create a wonderful profile just like yours describing myself briefly. ||| How to do settings about my details on profile? ||| Hello, I’m new and would like to be helped on how to create and edit a profile ||| How can I set up my profile here?"
58,qc_58,526,0.0932,0.0456,"Hi! how do i create a page about someone that is not on wiki yet? ||| Jay, how do i create a Wikipedia page for someone or a podcast ||| Hello how to create a account to on Wikipedia ||| Hello! how are you? I am just trying to create a simple wiki page for my father in law. Any tips on this? ||| Hello how to post your personal information in Wikipedia"
59,qc_59,112,0.3214,0.2054,"Can I change the name of the page?? ||| Hi, I want to create a page for someone else, and don't know how to change the title of it. Right now it says Create ||| Hi Iffy! I'm trying to create a Wikipedia page and I'm wondering why I can't rename my title. ||| Hi there, please can you help me? I need to rename my page
I've looked at several online help articles and it tells me I have to move the page to rename it, but i cannot find the move button one the page - my layout is different and i can't figure out how to rename it. Please can you help me?
Rob ||| Hello - I am trying to change the page name from ""WE Communications"" to our new company name ""We. Communications"". Can you help me figure out how to do that? Thanks much!"
60,qc_60,32,0.3438,0.2188,"Hello Sir
I was wondering if it's possible to speak with my mentor over a video call.
Best regards
Ayan Mullick
Madison, WI, USA. ||| Now, I would consider myself generally experienced since i have more than 850 edits and have been here for about 4 years, but since I switched on newcomer options (for fun)..., I automatically got assigned you as a mentor. So how long does this process take (to nominate mentors)...? ||| What does it mean by your my mentor? like do you really oversee what im doing on wikipedia? ||| How can I be a mentor? ||| Hi,
I have no focus on Latin America. Should I ask for a mentor with a different focus?
Thanks,
Craig"
61,qc_61,22,0.2273,0.1364,"How can I get involved in the Israel-Palestine and American politics areas? ||| I submitted a page for creation about Robert Stanley Matano, a former Kenyan MP and the former kingpin of the Coast Region politics. Kindly assist on how to submit. ||| Hello! I want to get to work making pages for politicians who don't have wikipedia pages. It bothers me that when people look in earnest for a politician, sometimes all they can find is one-sided information. As such, I was recently searching for a politician named Keith Pekau, who is a mayor and candidate for congress. I noticed that his page is set as a ""redirect"" and doesn't have a dedicated page. Is there any way I can get to work on creating a page? ||| Hello, how can I add a sidebar to the page of Lech Kaczyński? ||| Hi
Hope you are doing good!!
I would like to add about a Political Personality and Social Activist from my town. Could you please help me to come up with the information on Wiki.
Regards,
Vasanth"
62,qc_62,45,0.0889,0.0444,"how can people search me on the wikipidea or it takes time can u tell me about it ||| Hello how do I submit my Wikipedia page to google ||| Hello! I have made some Wikipedia pages, but they don’t show up in google, how do I Index them? ||| Hi Rusty, this may sound weird and very random. But I have recently watched the Netflix documentary on Jimmy Savile, and when I searched his name into google there is no mention on the overview from Wikipedia about his sexual offences. This concerns me as I believe if someone searched him up who didn’t know who he was, it is worded that he was a good person. Would it be possible for you to edit it in some way as I am unable to as it is protected from editing? ||| Why my name are not appearing on Wikipedia when I search"
